Field,Posted Date,Job Title,Company,Company URL,Company Size,Job Link,Job Portal,Location,First Name,Last Name,Title,LinkedIn,Email,Phone Number
Non Technical,09/27/2025,HR Specialist,Apple 9658,https://apple.com,10K+,https://www.talent.com/jobs?q=HR+Specialist&location=London,Talent,"Denver, CO",Emily,Thompson,Director of Engineering,https://www.linkedin.com/in/emily.thompson,emily.thompson@apple9658.com,036 3944 1643
Non Technical,09/27/2025,Marketing Manager,Retool 3207,https://retool.com,201-500,https://www.talent.com/jobs?q=Marketing+Manager&location=London,Talent,"Denver, CO",Robert,Garcia,CTO,,robert.garcia@retool3207.com,021 6250 2182
Non Technical,09/27/2025,Graphic Designer,Twilio 4311,https://twilio.com,201-500,https://www.talent.com/jobs?q=Graphic+Designer&location=London,Talent,"Chicago, IL",James,Martin,Lead Developer,https://www.linkedin.com/in/jamesmartin,james.martin@twilio4311.com,+1-902-427-3772
Non Technical,09/27/2025,Graphic Designer,Twilio 4311,https://twilio.com,201-500,https://www.talent.com/jobs?q=Graphic+Designer&location=London,Talent,"Chicago, IL",Maria,White,Lead Developer,https://www.linkedin.com/in/maria-white,maria.white@twilio4311.com,+1-452-665-4750
Non Technical,09/27/2025,Digital Marketing Specialist,Intel 9222,https://intel.com,501-1K,https://www.talent.com/jobs?q=Digital+Marketing+Specialist&location=London,Talent,"New York, NY",Anna,Jones,Product Manager,https://www.linkedin.com/in/anna-jones-73,anna.jones@intel9222.com,044 4158 4204
Non Technical,09/27/2025,Digital Marketing Specialist,Intel 9222,https://intel.com,501-1K,https://www.talent.com/jobs?q=Digital+Marketing+Specialist&location=London,Talent,"New York, NY",Anna,Rodriguez,Engineering Manager,https://www.linkedin.com/in/anna-rodriguez-72,anna.rodriguez@intel9222.com,020 2287 7971
Non Technical,09/27/2025,Digital Marketing Specialist,Intel 9222,https://intel.com,501-1K,https://www.talent.com/jobs?q=Digital+Marketing+Specialist&location=London,Talent,"New York, NY",Anna,Anderson,VP Engineering,https://www.linkedin.com/in/anna-anderson,anna.anderson@intel9222.com,(256) 478-1970
Non Technical,09/27/2025,UX Designer,Box 9337,https://box.com,51-200,https://www.adzuna.com/search?q=UX+Designer&where=London,Adzuna,"Los Angeles, CA",Amanda,Rodriguez,Head of Engineering,https://www.linkedin.com/in/amanda-rodriguez,amanda.rodriguez@box9337.com,(287) 299-9330
Non Technical,09/27/2025,UX Designer,Box 9337,https://box.com,51-200,https://www.adzuna.com/search?q=UX+Designer&where=London,Adzuna,"Los Angeles, CA",Lisa,Brown,VP Engineering,https://www.linkedin.com/in/lisa-brown,lisa.brown@box9337.com,+44 54 3887 1714
Non Technical,09/27/2025,Brand Manager,Mailchimp 2179,https://mailchimp.com,501-1K,https://www.adzuna.com/search?q=Brand+Manager&where=London,Adzuna,"Chicago, IL",Anthony,Williams,Head of Engineering,https://www.linkedin.com/in/anthonywilliams,anthony.williams@mailchimp2179.com,+1-540-203-7280
Non Technical,09/27/2025,Brand Manager,Mailchimp 2179,https://mailchimp.com,501-1K,https://www.adzuna.com/search?q=Brand+Manager&where=London,Adzuna,"Chicago, IL",Anthony,Thomas,Senior Developer,https://www.linkedin.com/in/anthony.thomas,anthony.thomas@mailchimp2179.com,069 5457 5001
Non Technical,09/27/2025,Brand Manager,Mailchimp 2179,https://mailchimp.com,501-1K,https://www.adzuna.com/search?q=Brand+Manager&where=London,Adzuna,"Chicago, IL",Amanda,Thomas,Lead Developer,https://www.linkedin.com/in/amanda-thomas-17,amanda.thomas@mailchimp2179.com,+44 74 1106 7966
