Field,Posted Date,Job Title,Company,Company URL,Company Size,Job Link,Job Portal,Location,First Name,Last Name,Title,LinkedIn,Email,Phone Number
Non Technical,09/27/2025,Marketing Manager,Supabase 4929,https://www.supabase.com,51-200,https://www.reed.co.uk/jobs?q=Marketing+Manager&location=United+States,Reed,"Boston, MA",Emily,Thompson,Product Manager,https://www.linkedin.com/in/emily-thompson,emily.thompson@supabase.com,+44 76 3404 4493
Technical,09/27/2025,Solutions Architect,Amazon 2127,https://www.amazon.com,100K+,https://jooble.org/jobs?q=Solutions+Architect&location=United+States,Jooble,"Atlanta, GA",Robert,Rodriguez,Head of Product,https://www.linkedin.com/in/robert-rodriguez,robert.rodriguez@amazon.com,038 7675 5621
Technical,09/27/2025,Solutions Architect,Amazon 2127,https://www.amazon.com,100K+,https://jooble.org/jobs?q=Solutions+Architect&location=United+States,Jooble,"Atlanta, GA",Michael,Smith,Head of Technology,https://www.linkedin.com/in/michael-smith,michael.smith@amazon.com,+44 26 8134 2645
Non Technical,09/27/2025,Customer Success Manager,Palantir 6316,https://www.palantir.com,501-1K,https://www.seojobs.com/jobs?q=Customer+Success+Manager&location=United+States,SEOJobs.com,"Atlanta, GA",Chris,Jackson,CTO,https://www.linkedin.com/in/chris-jackson,chris.jackson@palantir.com,042 5761 1871
Non Technical,09/27/2025,Customer Success Manager,Palantir 6316,https://www.palantir.com,501-1K,https://www.seojobs.com/jobs?q=Customer+Success+Manager&location=United+States,SEOJobs.com,"Atlanta, GA",Chris,Davis,Engineering Manager,https://www.linkedin.com/in/chris-davis,chris.davis@palantir.com,+1-324-461-9926
Non Technical,09/27/2025,Customer Success Manager,Palantir 6316,https://www.palantir.com,501-1K,https://www.seojobs.com/jobs?q=Customer+Success+Manager&location=United+States,SEOJobs.com,"Atlanta, GA",Robert,Taylor,Product Manager,https://www.linkedin.com/in/robert-taylor,robert.taylor@palantir.com,+1-304-681-1213
Non Technical,09/27/2025,Marketing Manager,OpenAI 7123,https://www.openai.com,51-200,https://www.totaljobs.com/jobs?q=Marketing+Manager&location=United+States,Totaljobs,"Denver, CO",Anthony,Brown,Lead Developer,https://www.linkedin.com/in/anthony-brown,anthony.brown@openai.com,077 2146 7287
Non Technical,09/27/2025,Sales Representative,Hugging Face 9126,https://www.huggingface.co,201-500,https://www.linkedin.com/jobs/search/?keywords=Sales+Representative&location=United%20States&sortBy=DD,LinkedIn Jobs,"New York, NY",Michael,Thompson,Technical Lead,https://www.linkedin.com/in/michael-thompson,michael.thompson@hugging.com,073 4387 7448
Non Technical,09/27/2025,Sales Representative,Hugging Face 9126,https://www.huggingface.co,201-500,https://www.linkedin.com/jobs/search/?keywords=Sales+Representative&location=United%20States&sortBy=DD,LinkedIn Jobs,"New York, NY",John,Johnson,Lead Developer,https://www.linkedin.com/in/john-johnson,john.johnson@hugging.com,+1-339-524-4375
Technical,09/27/2025,Machine Learning Engineer,PayPal 8573,https://www.paypal.com,51-200,https://www.seojobs.com/jobs?q=Machine+Learning+Engineer&location=United+States,SEOJobs.com,"Denver, CO",Amanda,Williams,CTO,https://www.linkedin.com/in/amanda-williams,amanda.williams@paypal.com,045 2914 5502
Non Technical,09/27/2025,Operations Manager,Hugging Face 2499,https://www.huggingface.co,51-200,https://www.linkedin.com/jobs/search/?keywords=Operations+Manager&location=United%20States&sortBy=DD,LinkedIn Jobs,"Denver, CO",Daniel,Martin,Product Manager,https://www.linkedin.com/in/daniel-martin,daniel.martin@hugging.com,+44 24 8450 5831
Non Technical,09/27/2025,Operations Manager,Hugging Face 2499,https://www.huggingface.co,51-200,https://www.linkedin.com/jobs/search/?keywords=Operations+Manager&location=United%20States&sortBy=DD,LinkedIn Jobs,"Denver, CO",James,Anderson,Product Manager,https://www.linkedin.com/in/james-anderson,james.anderson@hugging.com,+44 69 5146 2876
Non Technical,09/27/2025,Operations Manager,Hugging Face 2499,https://www.huggingface.co,51-200,https://www.linkedin.com/jobs/search/?keywords=Operations+Manager&location=United%20States&sortBy=DD,LinkedIn Jobs,"Denver, CO",Matthew,Williams,Engineering Manager,https://www.linkedin.com/in/matthew-williams,matthew.williams@hugging.com,(975) 325-8453
Non Technical,09/26/2025,Training Specialist,Spotify 6907,https://www.spotify.com,201-500,https://au.jora.com/jobs?q=Training+Specialist&location=United+States,Jora,"Atlanta, GA",Stephanie,Moore,CTO,https://www.linkedin.com/in/stephanie-moore,stephanie.moore@spotify.com,+44 50 4322 7145
Non Technical,09/26/2025,Training Specialist,Spotify 6907,https://www.spotify.com,201-500,https://au.jora.com/jobs?q=Training+Specialist&location=United+States,Jora,"Atlanta, GA",Robert,Thompson,Senior Developer,https://www.linkedin.com/in/robert-thompson,robert.thompson@spotify.com,+1-359-830-9824
