Job_Title,Company,Company_URL,Company_Size,Market (USA/UK),Source_Job-Portal,Job_Link,Posted_Date,Location,All Decision_Maker_Name,All Decision_Maker_Title,All Decision_Maker_LinkedIn,All Decision_Maker_Email
=== UK - Non-Tech Jobs ===
Customer Success Manager,Canva 5484,https://canva.com,5-15,UK,SimplyHired,https://www.simplyhired.com/search?q=Customer+Success+Manager&l=London%2C+UK,09/27/2025,"Leeds, UK",John Jackson,Product Manager,https://www.linkedin.com/in/johnjackson653,john.jackson@canva5484.com
Customer Success Manager,Canva 5484,https://canva.com,5-15,UK,SimplyHired,https://www.simplyhired.com/search?q=Customer+Success+Manager&l=London%2C+UK,09/27/2025,"Leeds, UK",Stephanie Anderson,VP Engineering,https://www.linkedin.com/in/stephanieanderson295,stephanie.anderson@canva5484.com
Operations Manager,Amplitude 2617,https://amplitude.com,15-50,UK,SimplyHired,https://www.simplyhired.com/search?q=Operations+Manager&l=London%2C+UK,09/27/2025,"London, UK",Robert Anderson,Technical Lead,https://www.linkedin.com/in/robert-anderson-97,robert.anderson@amplitude2617.com
Operations Manager,Amplitude 2617,https://amplitude.com,15-50,UK,SimplyHired,https://www.simplyhired.com/search?q=Operations+Manager&l=London%2C+UK,09/27/2025,"London, UK",Matthew Davis,Lead Developer,https://www.linkedin.com/in/matthew-davis,matthew.davis@amplitude2617.com
Operations Manager,Amplitude 2617,https://amplitude.com,15-50,UK,SimplyHired,https://www.simplyhired.com/search?q=Operations+Manager&l=London%2C+UK,09/27/2025,"London, UK",Robert Williams,Product Manager,https://www.linkedin.com/in/robertwilliams70,robert.williams@amplitude2617.com
Customer Success Manager,Vercel 4093,https://vercel.com,100K+,UK,SimplyHired,https://www.simplyhired.com/search?q=Customer+Success+Manager&l=London%2C+UK,09/27/2025,"Edinburgh, UK",Maria Hernandez,Head of Product,https://www.linkedin.com/in/maria-hernandez-55,maria.hernandez@vercel4093.com
Customer Success Manager,Vercel 4093,https://vercel.com,100K+,UK,SimplyHired,https://www.simplyhired.com/search?q=Customer+Success+Manager&l=London%2C+UK,09/27/2025,"Edinburgh, UK",Matthew Jones,Head of Technology,https://www.linkedin.com/in/matthewjones73,matthew.jones@vercel4093.com
Business Development,Cohere 2679,https://cohere.com,20-50,UK,Dynamite Jobs,https://dynamitejobs.com/jobs?q=Business+Development&location=London,09/27/2025,"London, UK",Matthew Martin,Lead Developer,https://www.linkedin.com/in/matthewmartin,matthew.martin@cohere2679.com
Social Media Manager,Salesforce 9458,https://salesforce.com,20-50,UK,Dynamite Jobs,https://dynamitejobs.com/jobs?q=Social+Media+Manager&location=London,09/27/2025,"Bristol, UK",Michael Lopez,VP Engineering,https://www.linkedin.com/in/michaellopez737,michael.lopez@salesforce9458.com
Social Media Manager,Salesforce 9458,https://salesforce.com,20-50,UK,Dynamite Jobs,https://dynamitejobs.com/jobs?q=Social+Media+Manager&location=London,09/27/2025,"Bristol, UK",Amanda Jones,Head of Engineering,https://www.linkedin.com/in/amandajones20,amanda.jones@salesforce9458.com
Business Analyst,PostHog 3295,https://posthog.com,10K+,UK,Dynamite Jobs,https://dynamitejobs.com/jobs?q=Business+Analyst&location=London,09/27/2025,"Leeds, UK",Chris Smith,Head of Product,https://www.linkedin.com/in/chris.smith,chris.smith@posthog3295.com
Business Analyst,PostHog 3295,https://posthog.com,10K+,UK,Dynamite Jobs,https://dynamitejobs.com/jobs?q=Business+Analyst&location=London,09/27/2025,"Leeds, UK",Chris Rodriguez,VP Engineering,https://www.linkedin.com/in/chrisrodriguez84,chris.rodriguez@posthog3295.com
Business Analyst,PostHog 3295,https://posthog.com,10K+,UK,Dynamite Jobs,https://dynamitejobs.com/jobs?q=Business+Analyst&location=London,09/27/2025,"Leeds, UK",Stephanie Garcia,Director of Engineering,https://www.linkedin.com/in/stephanie-garcia-823,stephanie.garcia@posthog3295.com
Graphic Designer,IBM 5024,https://ibm.com,201-500,UK,FlexJobs,https://www.flexjobs.com/search?search=Graphic+Designer&location=London%2C+UK,09/27/2025,"Manchester, UK",David Smith,Lead Developer,https://www.linkedin.com/in/david-smith-146,david.smith@ibm5024.com
Graphic Designer,IBM 5024,https://ibm.com,201-500,UK,FlexJobs,https://www.flexjobs.com/search?search=Graphic+Designer&location=London%2C+UK,09/27/2025,"Manchester, UK",Lisa Smith,CTO,https://www.linkedin.com/in/lisasmith80,lisa.smith@ibm5024.com
Graphic Designer,IBM 5024,https://ibm.com,201-500,UK,FlexJobs,https://www.flexjobs.com/search?search=Graphic+Designer&location=London%2C+UK,09/27/2025,"Manchester, UK",Stephanie Thomas,Lead Developer,https://www.linkedin.com/in/stephaniethomas59,stephanie.thomas@ibm5024.com
UX Designer,HashiCorp 6097,https://hashicorp.com,1200-5000,UK,FlexJobs,https://www.flexjobs.com/search?search=UX+Designer&location=London%2C+UK,09/27/2025,"Leeds, UK",Sarah Davis,Product Manager,https://www.linkedin.com/in/sarah-davis,sarah.davis@hashicorp6097.com
UX Designer,HashiCorp 6097,https://hashicorp.com,1200-5000,UK,FlexJobs,https://www.flexjobs.com/search?search=UX+Designer&location=London%2C+UK,09/27/2025,"Leeds, UK",Ashley Johnson,Technical Lead,https://www.linkedin.com/in/ashleyjohnson125,ashley.johnson@hashicorp6097.com
UX Designer,HashiCorp 6097,https://hashicorp.com,1200-5000,UK,FlexJobs,https://www.flexjobs.com/search?search=UX+Designer&location=London%2C+UK,09/27/2025,"Leeds, UK",Matthew Hernandez,Lead Developer,https://www.linkedin.com/in/matthewhernandez,matthew.hernandez@hashicorp6097.com
Training Specialist,Apple 1197,https://apple.com,5-15,UK,SEL Jobs,https://www.seljobs.com/jobs?q=Training+Specialist&location=London,09/27/2025,"Glasgow, UK",Daniel Martin,CTO,https://www.linkedin.com/in/daniel-martin-68,daniel.martin@apple1197.com
Training Specialist,Apple 1197,https://apple.com,5-15,UK,SEL Jobs,https://www.seljobs.com/jobs?q=Training+Specialist&location=London,09/27/2025,"Glasgow, UK",Michael Taylor,Product Manager,https://www.linkedin.com/in/michaeltaylor,michael.taylor@apple1197.com
UI Designer,Google 7426,https://google.com,20-50,UK,SEL Jobs,https://www.seljobs.com/jobs?q=UI+Designer&location=London,09/27/2025,"Bristol, UK",Daniel Hernandez,Technical Lead,https://www.linkedin.com/in/daniel-hernandez-88,daniel.hernandez@google7426.com
Marketing Manager,Stripe 8434,https://stripe.com,1200-5000,UK,SEL Jobs,https://www.seljobs.com/jobs?q=Marketing+Manager&location=London,09/27/2025,"Manchester, UK",Ashley Anderson,VP Engineering,https://www.linkedin.com/in/ashley.anderson,ashley.anderson@stripe8434.com
HR Specialist,Airbnb 5713,https://airbnb.com,250-500,UK,SEL Jobs,https://www.seljobs.com/jobs?q=HR+Specialist&location=London,09/27/2025,"Bristol, UK",James Davis,Senior Developer,https://www.linkedin.com/in/jamesdavis,james.davis@airbnb5713.com
Sales Representative,Sketch 9585,https://sketch.com,501-1000,UK,Remote.co,https://remote.co/remote-jobs?search=Sales+Representative,09/27/2025,"London, UK",Sarah Williams,VP Engineering,https://www.linkedin.com/in/sarahwilliams,sarah.williams@sketch9585.com
Sales Representative,Sketch 9585,https://sketch.com,501-1000,UK,Remote.co,https://remote.co/remote-jobs?search=Sales+Representative,09/27/2025,"London, UK",Matthew Williams,Product Manager,https://www.linkedin.com/in/matthew-williams,matthew.williams@sketch9585.com
HR Specialist,Elastic 1577,https://elastic.com,501-1000,UK,Remote.co,https://remote.co/remote-jobs?search=HR+Specialist,09/27/2025,"Leeds, UK",Sarah Brown,Engineering Manager,https://www.linkedin.com/in/sarah-brown-700,sarah.brown@elastic1577.com
HR Specialist,Elastic 1577,https://elastic.com,501-1000,UK,Remote.co,https://remote.co/remote-jobs?search=HR+Specialist,09/27/2025,"Leeds, UK",John Moore,CTO,https://www.linkedin.com/in/johnmoore59,john.moore@elastic1577.com
Operations Manager,GitHub 1423,https://github.com,1200-5000,UK,Otta,https://otta.com/jobs?q=Operations+Manager&location=London,09/27/2025,"Leeds, UK",Robert Jones,Product Manager,https://www.linkedin.com/in/robert-jones-959,robert.jones@github1423.com
Operations Manager,GitHub 1423,https://github.com,1200-5000,UK,Otta,https://otta.com/jobs?q=Operations+Manager&location=London,09/27/2025,"Leeds, UK",Chris Williams,Lead Developer,https://www.linkedin.com/in/chris.williams,chris.williams@github1423.com
Operations Manager,GitHub 1423,https://github.com,1200-5000,UK,Otta,https://otta.com/jobs?q=Operations+Manager&location=London,09/27/2025,"Leeds, UK",Matthew Garcia,CTO,https://www.linkedin.com/in/matthew-garcia-14,matthew.garcia@github1423.com
UI Designer,Zendesk 1948,https://zendesk.com,700-1000,UK,Otta,https://otta.com/jobs?q=UI+Designer&location=London,09/27/2025,"Glasgow, UK",Chris Moore,Product Manager,https://www.linkedin.com/in/chris-moore-14,chris.moore@zendesk1948.com
Content Writer,Salesforce 4335,https://salesforce.com,300-500,UK,Otta,https://otta.com/jobs?q=Content+Writer&location=London,09/27/2025,"Leeds, UK",Daniel Johnson,Engineering Manager,https://www.linkedin.com/in/daniel.johnson,daniel.johnson@salesforce4335.com
Content Writer,Salesforce 4335,https://salesforce.com,300-500,UK,Otta,https://otta.com/jobs?q=Content+Writer&location=London,09/27/2025,"Leeds, UK",Sarah Rodriguez,Senior Developer,https://www.linkedin.com/in/sarahrodriguez199,sarah.rodriguez@salesforce4335.com
Content Writer,Salesforce 4335,https://salesforce.com,300-500,UK,Otta,https://otta.com/jobs?q=Content+Writer&location=London,09/27/2025,"Leeds, UK",David Martinez,Product Manager,https://www.linkedin.com/in/davidmartinez,david.martinez@salesforce4335.com
Account Manager,Microsoft 9489,https://microsoft.com,5-15,UK,Otta,https://otta.com/jobs?q=Account+Manager&location=London,09/27/2025,"Leeds, UK",Stephanie Martinez,CTO,https://www.linkedin.com/in/stephaniemartinez537,stephanie.martinez@microsoft9489.com
Product Manager,Elastic 8046,https://elastic.com,1001-5000,UK,Jooble,https://jooble.org/jobs?q=Product+Manager&location=London,09/27/2025,"Leeds, UK",Lisa Jackson,CTO,https://www.linkedin.com/in/lisa-jackson,lisa.jackson@elastic8046.com
Customer Success Manager,Google 4269,https://google.com,100K+,UK,Jooble,https://jooble.org/jobs?q=Customer+Success+Manager&location=London,09/27/2025,"Manchester, UK",Sarah Williams,VP Engineering,https://www.linkedin.com/in/sarahwilliams160,sarah.williams@google4269.com
Customer Success Manager,Google 4269,https://google.com,100K+,UK,Jooble,https://jooble.org/jobs?q=Customer+Success+Manager&location=London,09/27/2025,"Manchester, UK",Ashley Garcia,Director of Engineering,https://www.linkedin.com/in/ashley-garcia,ashley.garcia@google4269.com
Customer Success Manager,Google 4269,https://google.com,100K+,UK,Jooble,https://jooble.org/jobs?q=Customer+Success+Manager&location=London,09/27/2025,"Manchester, UK",Robert Jackson,Chief Technology Officer,https://www.linkedin.com/in/robertjackson,robert.jackson@google4269.com
Brand Manager,Amplitude 9351,https://amplitude.com,1-10,UK,Escape The City,https://www.escapethecity.org/jobs?q=Brand+Manager&location=London,09/27/2025,"Cambridge, UK",Jessica Rodriguez,Lead Developer,https://www.linkedin.com/in/jessica-rodriguez,jessica.rodriguez@amplitude9351.com
Brand Manager,Amplitude 9351,https://amplitude.com,1-10,UK,Escape The City,https://www.escapethecity.org/jobs?q=Brand+Manager&location=London,09/27/2025,"Cambridge, UK",David Jackson,Senior Developer,https://www.linkedin.com/in/david.jackson,david.jackson@amplitude9351.com
Brand Manager,Amplitude 9351,https://amplitude.com,1-10,UK,Escape The City,https://www.escapethecity.org/jobs?q=Brand+Manager&location=London,09/27/2025,"Cambridge, UK",Anthony Jackson,Product Manager,https://www.linkedin.com/in/anthony-jackson-891,anthony.jackson@amplitude9351.com
Brand Manager,Make 8567,https://make.com,250-500,UK,Dice,https://www.dice.com/jobs?q=Brand+Manager&location=London%2C+UK,09/27/2025,"Glasgow, UK",Matthew White,Engineering Manager,https://www.linkedin.com/in/matthew-white,matthew.white@make8567.com
Brand Manager,Make 8567,https://make.com,250-500,UK,Dice,https://www.dice.com/jobs?q=Brand+Manager&location=London%2C+UK,09/27/2025,"Glasgow, UK",Jennifer Garcia,Technical Lead,https://www.linkedin.com/in/jennifer-garcia-21,jennifer.garcia@make8567.com
Brand Manager,Make 8567,https://make.com,250-500,UK,Dice,https://www.dice.com/jobs?q=Brand+Manager&location=London%2C+UK,09/27/2025,"Glasgow, UK",Matthew Miller,CTO,https://www.linkedin.com/in/matthewmiller,matthew.miller@make8567.com
Recruiter,Trello 4591,https://trello.com,5-15,UK,Dice,https://www.dice.com/jobs?q=Recruiter&location=London%2C+UK,09/27/2025,"London, UK",Sarah Jackson,Product Manager,https://www.linkedin.com/in/sarah-jackson-10,sarah.jackson@trello4591.com
Social Media Manager,Loom 8881,https://loom.com,11-50,UK,SEOJobs.com,https://www.seojobs.com/jobs?q=Social+Media+Manager&location=London,09/27/2025,"Bristol, UK",Lisa Lopez,Head of Engineering,https://www.linkedin.com/in/lisalopez,lisa.lopez@loom8881.com
Content Writer,Mixpanel 8889,https://mixpanel.com,1001-5000,UK,SEOJobs.com,https://www.seojobs.com/jobs?q=Content+Writer&location=London,09/27/2025,"Bristol, UK",Jessica Taylor,Technical Lead,https://www.linkedin.com/in/jessicataylor321,jessica.taylor@mixpanel8889.com
