Job_Title,Company,Company_URL,Company_Size,Market (USA/UK),Source_Job-Portal,Job_Link,Posted_Date,Location,All Decision_Maker_Name,All Decision_Maker_Title,All Decision_Maker_LinkedIn,All Decision_Maker_Email
=== USA - Non-Tech Jobs ===
Financial Analyst,Auth0 2650,https://auth0.com,501-1K,USA,CWjobs,https://www.cwjobs.co.uk/jobs?q=Financial+Analyst&location=United+States,09/27/2025,"Atlanta, GA",John Johnson,Technical Lead,https://www.linkedin.com/in/john-johnson,john.johnson@auth02650.com
Financial Analyst,Auth0 2650,https://auth0.com,501-1K,USA,CWjobs,https://www.cwjobs.co.uk/jobs?q=Financial+Analyst&location=United+States,09/27/2025,"Atlanta, GA",Ashley Garcia,Technical Lead,https://www.linkedin.com/in/ashley-garcia,ashley.garcia@auth02650.com
Financial Analyst,Auth0 2650,https://auth0.com,501-1K,USA,CWjobs,https://www.cwjobs.co.uk/jobs?q=Financial+Analyst&location=United+States,09/27/2025,"Atlanta, GA",Amanda Brown,Technical Lead,https://www.linkedin.com/in/amanda-brown,amanda.brown@auth02650.com
Paid Advertising Manager,Tesla 1048,https://tesla.com,51-200,USA,Redefined,https://www.redefined.co.uk/jobs?q=Paid+Advertising+Manager&location=United+States,09/27/2025,"New York, NY",Lisa Smith,Product Manager,https://www.linkedin.com/in/lisa-smith,lisa.smith@tesla1048.com
Business Development,Tesla 3410,https://tesla.com,51-200,USA,Escape The City,https://www.escapethecity.org/jobs?q=Business+Development&location=United+States,09/27/2025,"Boston, MA",Amanda Johnson,Lead Developer,https://www.linkedin.com/in/amanda-johnson,amanda.johnson@tesla3410.com
Business Development,Tesla 3410,https://tesla.com,51-200,USA,Escape The City,https://www.escapethecity.org/jobs?q=Business+Development&location=United+States,09/27/2025,"Boston, MA",Emily Davis,CTO,https://www.linkedin.com/in/emily-davis,emily.davis@tesla3410.com
Business Development,Tesla 3410,https://tesla.com,51-200,USA,Escape The City,https://www.escapethecity.org/jobs?q=Business+Development&location=United+States,09/27/2025,"Boston, MA",Lisa Thompson,Engineering Manager,https://www.linkedin.com/in/lisa-thompson,lisa.thompson@tesla3410.com
Sales Representative,Amazon 4823,https://amazon.com,100K+,USA,Jobsora,https://jobsora.com/jobs?q=Sales+Representative&location=United+States,09/27/2025,"Portland, OR",Maria Williams,CTO,https://www.linkedin.com/in/maria-williams,maria.williams@amazon4823.com
Sales Representative,Amazon 4823,https://amazon.com,100K+,USA,Jobsora,https://jobsora.com/jobs?q=Sales+Representative&location=United+States,09/27/2025,"Portland, OR",Daniel Martinez,Head of Product,https://www.linkedin.com/in/daniel-martinez,daniel.martinez@amazon4823.com
Marketing Manager,Replicate 9921,https://replicate.com,501-1K,USA,Remotive,https://remotive.com/remote-jobs?q=Marketing+Manager&location=United+States,09/26/2025,"Los Angeles, CA",Sarah Garcia,Product Manager,https://www.linkedin.com/in/sarah-garcia,sarah.garcia@replicate9921.com
Marketing Manager,Replicate 9921,https://replicate.com,501-1K,USA,Remotive,https://remotive.com/remote-jobs?q=Marketing+Manager&location=United+States,09/26/2025,"Los Angeles, CA",Jennifer Rodriguez,Senior Developer,https://www.linkedin.com/in/jennifer-rodriguez,jennifer.rodriguez@replicate9921.com
Training Specialist,Clerk 4241,https://clerk.com,201-500,USA,CV-Library,https://www.cv-library.co.uk/jobs?q=Training+Specialist&location=United+States,09/26/2025,"Chicago, IL",Ashley Taylor,CTO,https://www.linkedin.com/in/ashley-taylor,ashley.taylor@clerk4241.com
Sales Representative,Oracle 4557,https://oracle.com,201-500,USA,Redefined,https://www.redefined.co.uk/jobs?q=Sales+Representative&location=United+States,09/26/2025,"Seattle, WA",Jessica Smith,Engineering Manager,https://www.linkedin.com/in/jessica-smith,jessica.smith@oracle4557.com
Sales Representative,Oracle 4557,https://oracle.com,201-500,USA,Redefined,https://www.redefined.co.uk/jobs?q=Sales+Representative&location=United+States,09/26/2025,"Seattle, WA",Ashley Anderson,Engineering Manager,https://www.linkedin.com/in/ashley-anderson,ashley.anderson@oracle4557.com
Content Writer,Canva 2666,https://canva.com,501-1K,USA,CV-Library,https://www.cv-library.co.uk/jobs?q=Content+Writer&location=United+States,09/26/2025,"Portland, OR",Jennifer Martinez,Engineering Manager,https://www.linkedin.com/in/jennifer-martinez,jennifer.martinez@canva2666.com
Content Writer,Canva 2666,https://canva.com,501-1K,USA,CV-Library,https://www.cv-library.co.uk/jobs?q=Content+Writer&location=United+States,09/26/2025,"Portland, OR",Jennifer Hernandez,Technical Lead,https://www.linkedin.com/in/jennifer-hernandez,jennifer.hernandez@canva2666.com
Content Writer,Canva 2666,https://canva.com,501-1K,USA,CV-Library,https://www.cv-library.co.uk/jobs?q=Content+Writer&location=United+States,09/26/2025,"Portland, OR",Jessica Hernandez,Product Manager,https://www.linkedin.com/in/jessica-hernandez,jessica.hernandez@canva2666.com
PPC Specialist,Vercel 1974,https://vercel.com,501-1K,USA,Jooble,https://jooble.org/jobs?q=PPC+Specialist&location=United+States,09/26/2025,"Boston, MA",James Miller,Senior Developer,https://www.linkedin.com/in/james-miller,james.miller@vercel1974.com
