Field,Posted Date,Job Title,Company,Company URL,Company Size,Job Link,Job Portal,Location,First Name,Last Name,Title,LinkedIn,Email,Phone Number
Non Technical,09/27/2025,Financial Analyst,Sketch 5030,https://sketch.com,201-500,https://www.reed.co.uk/jobs?q=Financial+Analyst&location=London,Reed,"Denver, CO",John,Garcia,Head of Engineering,https://www.linkedin.com/in/johngarcia88,john.garcia@sketch5030.com,+44 50 5423 1481
Non Technical,09/27/2025,Financial Analyst,Sketch 5030,https://sketch.com,201-500,https://www.reed.co.uk/jobs?q=Financial+Analyst&location=London,Reed,"Denver, CO",Jennifer,Smith,CTO,https://www.linkedin.com/in/jennifer-smith,jennifer.smith@sketch5030.com,+1-669-736-1156
Non Technical,09/27/2025,Financial Analyst,Sketch 5030,https://sketch.com,201-500,https://www.reed.co.uk/jobs?q=Financial+Analyst&location=London,Reed,"Denver, CO",Robert,Lopez,Head of Engineering,https://www.linkedin.com/in/robertlopez28,robert.lopez@sketch5030.com,044 2023 7077
Non Technical,09/27/2025,Financial Analyst,Loom 9589,https://loom.com,51-200,https://www.reed.co.uk/jobs?q=Financial+Analyst&location=London,Reed,"New York, NY",Emily,Davis,Lead Developer,https://www.linkedin.com/in/emily.davis,emily.davis@loom9589.com,+1-373-263-6125
Non Technical,09/27/2025,Digital Marketing Specialist,Square 6985,https://square.com,1K-5K,https://www.totaljobs.com/jobs?q=Digital+Marketing+Specialist&location=London,Totaljobs,"Los Angeles, CA",Maria,Jackson,Principal Engineer,https://www.linkedin.com/in/mariajackson,maria.jackson@square6985.com,(708) 897-1769
Non Technical,09/27/2025,Digital Marketing Specialist,Square 6985,https://square.com,1K-5K,https://www.totaljobs.com/jobs?q=Digital+Marketing+Specialist&location=London,Totaljobs,"Los Angeles, CA",Sarah,Thompson,Principal Engineer,,sarah.thompson@square6985.com,028 5472 8635
Non Technical,09/27/2025,Digital Marketing Specialist,Square 6985,https://square.com,1K-5K,https://www.totaljobs.com/jobs?q=Digital+Marketing+Specialist&location=London,Totaljobs,"Los Angeles, CA",Matthew,Garcia,Principal Engineer,,matthew.garcia@square6985.com,(406) 489-7167
Non Technical,09/27/2025,Social Media Manager,Box 6552,https://box.com,201-500,https://www.adzuna.com/search?q=Social+Media+Manager&where=London,Adzuna,"San Francisco, CA",Emily,Moore,Product Manager,https://www.linkedin.com/in/emilymoore,emily.moore@box6552.com,+1-692-400-2446
Non Technical,09/27/2025,Social Media Manager,Box 6552,https://box.com,201-500,https://www.adzuna.com/search?q=Social+Media+Manager&where=London,Adzuna,"San Francisco, CA",Amanda,Davis,Product Manager,https://www.linkedin.com/in/amanda-davis,amanda.davis@box6552.com,+44 56 7466 8122
Non Technical,09/27/2025,Social Media Manager,Box 6552,https://box.com,201-500,https://www.adzuna.com/search?q=Social+Media+Manager&where=London,Adzuna,"San Francisco, CA",David,Martinez,Lead Developer,https://www.linkedin.com/in/davidmartinez,david.martinez@box6552.com,(682) 300-6398
Non Technical,09/27/2025,Financial Analyst,Redis 7378,https://redis.com,51-200,https://www.cv-library.co.uk/jobs?q=Financial+Analyst&location=London,CV-Library,"San Francisco, CA",Jennifer,Lopez,CTO,,jennifer.lopez@redis7378.com,+1-873-591-4149
Non Technical,09/27/2025,Financial Analyst,Redis 7378,https://redis.com,51-200,https://www.cv-library.co.uk/jobs?q=Financial+Analyst&location=London,CV-Library,"San Francisco, CA",Sarah,Johnson,Engineering Manager,,sarah.johnson@redis7378.com,+1-493-521-6071
Non Technical,09/27/2025,Financial Analyst,Redis 7378,https://redis.com,51-200,https://www.cv-library.co.uk/jobs?q=Financial+Analyst&location=London,CV-Library,"San Francisco, CA",Mark,Lopez,Product Manager,https://www.linkedin.com/in/mark-lopez-57,mark.lopez@redis7378.com,+44 64 2446 5515
Non Technical,09/27/2025,Event Coordinator,Trello 1088,https://trello.com,201-500,https://www.cv-library.co.uk/jobs?q=Event+Coordinator&location=London,CV-Library,"New York, NY",Ashley,Moore,Head of Engineering,https://www.linkedin.com/in/ashley-moore,ashley.moore@trello1088.com,079 3749 9734
Non Technical,09/27/2025,Event Coordinator,Trello 1088,https://trello.com,201-500,https://www.cv-library.co.uk/jobs?q=Event+Coordinator&location=London,CV-Library,"New York, NY",Stephanie,Rodriguez,Lead Developer,https://www.linkedin.com/in/stephanie.rodriguez,stephanie.rodriguez@trello1088.com,+1-625-545-7180
Non Technical,09/26/2025,Sales Representative,Amplitude 8022,https://amplitude.com,1K-5K,https://www.talent.com/jobs?q=Sales+Representative&location=London,Talent,"Boston, MA",Mark,Anderson,Technical Lead,https://www.linkedin.com/in/markanderson,mark.anderson@amplitude8022.com,+44 57 4121 7084
Non Technical,09/26/2025,Sales Representative,Amplitude 8022,https://amplitude.com,1K-5K,https://www.talent.com/jobs?q=Sales+Representative&location=London,Talent,"Boston, MA",Matthew,Brown,Architect,https://www.linkedin.com/in/matthew-brown,matthew.brown@amplitude8022.com,063 4801 1292
Non Technical,09/26/2025,Sales Representative,Amplitude 8022,https://amplitude.com,1K-5K,https://www.talent.com/jobs?q=Sales+Representative&location=London,Talent,"Boston, MA",Maria,Thompson,Technical Lead,https://www.linkedin.com/in/mariathompson55,maria.thompson@amplitude8022.com,027 1075 9434
Non Technical,09/26/2025,Event Coordinator,Amplitude 1025,https://amplitude.com,501-1K,https://www.talent.com/jobs?q=Event+Coordinator&location=London,Talent,"New York, NY",Maria,Smith,Head of Engineering,https://www.linkedin.com/in/maria.smith,maria.smith@amplitude1025.com,+1-919-628-1174
Non Technical,09/26/2025,Event Coordinator,Amplitude 1025,https://amplitude.com,501-1K,https://www.talent.com/jobs?q=Event+Coordinator&location=London,Talent,"New York, NY",Daniel,Taylor,Senior Developer,https://www.linkedin.com/in/daniel-taylor-95,daniel.taylor@amplitude1025.com,+1-431-684-8443
Non Technical,09/26/2025,Event Coordinator,Amplitude 1025,https://amplitude.com,501-1K,https://www.talent.com/jobs?q=Event+Coordinator&location=London,Talent,"New York, NY",Maria,Jones,Lead Developer,https://www.linkedin.com/in/mariajones,maria.jones@amplitude1025.com,(569) 324-1928
Non Technical,09/26/2025,Event Coordinator,Segment 2040,https://segment.com,1K-5K,https://www.talent.com/jobs?q=Event+Coordinator&location=London,Talent,"Los Angeles, CA",Jennifer,Lopez,Product Manager,https://www.linkedin.com/in/jenniferlopez,jennifer.lopez@segment2040.com,+44 75 7656 5836
Non Technical,09/26/2025,Sales Representative,PostHog 5422,https://posthog.com,1K-5K,https://www.totaljobs.com/jobs?q=Sales+Representative&location=London,Totaljobs,"Austin, TX",Chris,Smith,Product Manager,https://www.linkedin.com/in/chrissmith,chris.smith@posthog5422.com,+44 57 9204 1377
Non Technical,09/26/2025,Sales Representative,PostHog 5422,https://posthog.com,1K-5K,https://www.totaljobs.com/jobs?q=Sales+Representative&location=London,Totaljobs,"Austin, TX",Daniel,Hernandez,Principal Engineer,https://www.linkedin.com/in/daniel-hernandez-15,daniel.hernandez@posthog5422.com,+44 43 7829 8871
Non Technical,09/26/2025,Business Development,Figma 2733,https://figma.com,51-200,https://www.totaljobs.com/jobs?q=Business+Development&location=London,Totaljobs,"Denver, CO",Mark,Williams,Senior Developer,https://www.linkedin.com/in/mark-williams-92,mark.williams@figma2733.com,+1-552-889-8318
