Field,Posted Date,Job Title,Company,Company URL,Company Size,Job Link,Job Portal,Location,First Name,Last Name,Title,LinkedIn,Email,Phone Number
Non Technical,09/27/2025,Account Manager,Netlify 3258,https://netlify.com,51-200,https://www.totaljobs.com/jobs?q=Account+Manager&location=London,Totaljobs,"Austin, TX",Stephanie,Hernandez,Product Manager,https://www.linkedin.com/in/stephanie-hernandez-99,stephanie.hernandez@netlify3258.com,(615) 886-1732
Non Technical,09/27/2025,Social Media Manager,Google 8497,https://google.com,50K+,https://www.adzuna.com/search?q=Social+Media+Manager&where=London,Adzuna,"Boston, MA",John,Jones,Director of Engineering,https://www.linkedin.com/in/john-jones,john.jones@google8497.com,075 4694 4120
Non Technical,09/27/2025,Marketing Manager,Twilio 8798,https://twilio.com,51-200,https://www.cv-library.co.uk/jobs?q=Marketing+Manager&location=London,CV-Library,"Chicago, IL",Jessica,Hernandez,Head of Engineering,https://www.linkedin.com/in/jessicahernandez27,jessica.hernandez@twilio8798.com,+1-620-894-1885
Non Technical,09/27/2025,Marketing Manager,Twilio 8798,https://twilio.com,51-200,https://www.cv-library.co.uk/jobs?q=Marketing+Manager&location=London,CV-Library,"Chicago, IL",Matthew,White,Lead Developer,https://www.linkedin.com/in/matthew-white-38,matthew.white@twilio8798.com,049 5279 1751
Non Technical,09/27/2025,Marketing Manager,Twilio 8798,https://twilio.com,51-200,https://www.cv-library.co.uk/jobs?q=Marketing+Manager&location=London,CV-Library,"Chicago, IL",Anthony,Johnson,Technical Lead,,anthony.johnson@twilio8798.com,039 3528 5332
Non Technical,09/26/2025,Product Manager,Atlassian 3434,https://atlassian.com,1K-5K,https://www.talent.com/jobs?q=Product+Manager&location=London,Talent,"Austin, TX",Daniel,White,Senior Developer,https://www.linkedin.com/in/danielwhite97,daniel.white@atlassian3434.com,021 4549 6117
Non Technical,09/26/2025,Product Manager,Atlassian 3434,https://atlassian.com,1K-5K,https://www.talent.com/jobs?q=Product+Manager&location=London,Talent,"Austin, TX",Daniel,Garcia,Head of Product,https://www.linkedin.com/in/danielgarcia22,daniel.garcia@atlassian3434.com,042 1077 1112
Non Technical,09/26/2025,Account Manager,Figma 9784,https://figma.com,501-1K,https://www.talent.com/jobs?q=Account+Manager&location=London,Talent,"Chicago, IL",Matthew,Anderson,VP Engineering,https://www.linkedin.com/in/matthewanderson15,matthew.anderson@figma9784.com,+44 22 3487 8843
Non Technical,09/26/2025,Account Manager,Figma 9784,https://figma.com,501-1K,https://www.talent.com/jobs?q=Account+Manager&location=London,Talent,"Chicago, IL",Emily,Smith,Product Manager,https://www.linkedin.com/in/emily-smith-33,emily.smith@figma9784.com,(989) 499-9337
Non Technical,09/26/2025,Business Analyst,Supabase 7461,https://supabase.com,201-500,https://www.talent.com/jobs?q=Business+Analyst&location=London,Talent,"New York, NY",Amanda,Brown,Product Manager,,amanda.brown@supabase7461.com,+44 44 2596 4038
Non Technical,09/26/2025,Brand Manager,Slack 4903,https://slack.com,1K-5K,https://www.reed.co.uk/jobs?q=Brand+Manager&location=London,Reed,"Los Angeles, CA",Stephanie,Martinez,Principal Engineer,https://www.linkedin.com/in/stephanie.martinez,stephanie.martinez@slack4903.com,+1-713-926-9501
Non Technical,09/26/2025,Brand Manager,Slack 4903,https://slack.com,1K-5K,https://www.reed.co.uk/jobs?q=Brand+Manager&location=London,Reed,"Los Angeles, CA",Emily,Thomas,Technical Lead,https://www.linkedin.com/in/emily-thomas-77,emily.thomas@slack4903.com,+1-578-302-3191
Non Technical,09/26/2025,Brand Manager,Slack 4903,https://slack.com,1K-5K,https://www.reed.co.uk/jobs?q=Brand+Manager&location=London,Reed,"Los Angeles, CA",Robert,Hernandez,Product Manager,https://www.linkedin.com/in/roberthernandez,robert.hernandez@slack4903.com,(988) 523-9513
Non Technical,09/26/2025,Recruiter,Framer 3257,https://framer.com,501-1K,https://www.reed.co.uk/jobs?q=Recruiter&location=London,Reed,"Chicago, IL",Lisa,White,Technical Lead,https://www.linkedin.com/in/lisawhite74,lisa.white@framer3257.com,(930) 782-1057
Non Technical,09/26/2025,Recruiter,Framer 3257,https://framer.com,501-1K,https://www.reed.co.uk/jobs?q=Recruiter&location=London,Reed,"Chicago, IL",Sarah,Martinez,Engineering Manager,https://www.linkedin.com/in/sarahmartinez,sarah.martinez@framer3257.com,+44 63 9036 9945
