Field,Posted Date,Job Title,Company,Company URL,Company Size,Job Link,Job Portal,Location,First Name,Last Name,Title,LinkedIn,Email,Phone Number
Technical,09/26/2025,Senior Full Stack Developer,Elastic 7847,https://www.elastic.co,201-500,https://au.jora.com/jobs?q=Senior+Full+Stack+Developer&location=United+States,Jora,"Portland, OR",Daniel,Garcia,Engineering Manager,https://www.linkedin.com/in/daniel-garcia,daniel.garcia@elastic.com,+1-660-205-3179
Non Technical,09/26/2025,Financial Analyst,OpenAI 1640,https://www.openai.com,1K-5K,https://www.reed.co.uk/jobs?q=Financial+Analyst&location=United+States,Reed,"Seattle, WA",Mark,Martin,Engineering Manager,https://www.linkedin.com/in/mark-martin,mark.martin@openai.com,(668) 583-4975
Non Technical,09/26/2025,Financial Analyst,OpenAI 1640,https://www.openai.com,1K-5K,https://www.reed.co.uk/jobs?q=Financial+Analyst&location=United+States,Reed,"Seattle, WA",Lisa,Williams,Technical Lead,https://www.linkedin.com/in/lisa-williams,lisa.williams@openai.com,033 6246 9619
Non Technical,09/26/2025,UI Designer,PlanetScale 2627,https://www.planetscale.com,201-500,https://www.grabjobs.co.uk/jobs?q=UI+Designer&location=United+States,Grabjobs,"Seattle, WA",David,Martin,Product Manager,https://www.linkedin.com/in/david-martin,david.martin@planetscale.com,+44 42 9658 7248
Non Technical,09/26/2025,UI Designer,PlanetScale 2627,https://www.planetscale.com,201-500,https://www.grabjobs.co.uk/jobs?q=UI+Designer&location=United+States,Grabjobs,"Seattle, WA",James,Miller,CTO,https://www.linkedin.com/in/james-miller,james.miller@planetscale.com,+1-451-891-5245
Non Technical,09/26/2025,UI Designer,Databricks 5016,https://www.databricks.com,1K-5K,https://www.workingnomads.com/jobs?q=UI+Designer&location=United+States,Working Nomads,"Miami, FL",Lisa,Rodriguez,Lead Developer,https://www.linkedin.com/in/lisa-rodriguez,lisa.rodriguez@databricks.com,(741) 366-3462
Technical,09/26/2025,Site Reliability Engineer,PayPal 4181,https://www.paypal.com,51-200,https://remote.co/remote-jobs?q=Site+Reliability+Engineer&location=United+States,Remote.co,"Miami, FL",Matthew,Thomas,Senior Developer,https://www.linkedin.com/in/matthew-thomas,matthew.thomas@paypal.com,042 7723 4619
Technical,09/26/2025,Site Reliability Engineer,PayPal 4181,https://www.paypal.com,51-200,https://remote.co/remote-jobs?q=Site+Reliability+Engineer&location=United+States,Remote.co,"Miami, FL",Jennifer,Thomas,Lead Developer,https://www.linkedin.com/in/jennifer-thomas,jennifer.thomas@paypal.com,(352) 294-8536
Technical,09/26/2025,Site Reliability Engineer,PayPal 4181,https://www.paypal.com,51-200,https://remote.co/remote-jobs?q=Site+Reliability+Engineer&location=United+States,Remote.co,"Miami, FL",Lisa,Jackson,Technical Lead,https://www.linkedin.com/in/lisa-jackson,lisa.jackson@paypal.com,(594) 400-3996
Non Technical,09/26/2025,Recruiter,Slack 2410,https://www.slack.com,51-200,https://dynamitejobs.com/jobs?q=Recruiter&location=United+States,Dynamite Jobs,"Dallas, TX",James,Williams,Lead Developer,https://www.linkedin.com/in/james-williams,james.williams@slack.com,+1-974-519-3869
Non Technical,09/26/2025,Recruiter,Slack 2410,https://www.slack.com,51-200,https://dynamitejobs.com/jobs?q=Recruiter&location=United+States,Dynamite Jobs,"Dallas, TX",Jessica,Rodriguez,Engineering Manager,https://www.linkedin.com/in/jessica-rodriguez,jessica.rodriguez@slack.com,025 9196 8543
Non Technical,09/26/2025,Recruiter,Slack 2410,https://www.slack.com,51-200,https://dynamitejobs.com/jobs?q=Recruiter&location=United+States,Dynamite Jobs,"Dallas, TX",Stephanie,Davis,Lead Developer,https://www.linkedin.com/in/stephanie-davis,stephanie.davis@slack.com,+1-977-886-9454
Non Technical,09/26/2025,Google Ads Expert,Google 4921,https://www.google.com,10K+,https://jobsora.com/jobs?q=Google+Ads+Expert&location=United+States,Jobsora,"Atlanta, GA",Robert,Davis,Head of Technology,https://www.linkedin.com/in/robert-davis,robert.davis@google.com,+1-440-870-7487
Non Technical,09/26/2025,Google Ads Expert,Google 4921,https://www.google.com,10K+,https://jobsora.com/jobs?q=Google+Ads+Expert&location=United+States,Jobsora,"Atlanta, GA",Matthew,Lopez,CTO,https://www.linkedin.com/in/matthew-lopez,matthew.lopez@google.com,+1-296-457-6133
Non Technical,09/26/2025,Google Ads Expert,Google 4921,https://www.google.com,10K+,https://jobsora.com/jobs?q=Google+Ads+Expert&location=United+States,Jobsora,"Atlanta, GA",Matthew,Davis,CTO,https://www.linkedin.com/in/matthew-davis,matthew.davis@google.com,+1-272-408-5032
Technical,09/26/2025,React Native Developer,Oracle 3286,https://www.oracle.com,1K-5K,https://www.simplyhired.com/search?q=React+Native+Developer&location=United+States,SimplyHired,"Dallas, TX",David,Hernandez,Senior Developer,https://www.linkedin.com/in/david-hernandez,david.hernandez@oracle.com,(399) 656-9754
Technical,09/26/2025,React Native Developer,Oracle 3286,https://www.oracle.com,1K-5K,https://www.simplyhired.com/search?q=React+Native+Developer&location=United+States,SimplyHired,"Dallas, TX",Stephanie,Taylor,Architect,https://www.linkedin.com/in/stephanie-taylor,stephanie.taylor@oracle.com,+1-522-878-3198
Technical,09/26/2025,React Native Developer,Oracle 3286,https://www.oracle.com,1K-5K,https://www.simplyhired.com/search?q=React+Native+Developer&location=United+States,SimplyHired,"Dallas, TX",Daniel,Thompson,Lead Developer,https://www.linkedin.com/in/daniel-thompson,daniel.thompson@oracle.com,045 9257 5984
Non Technical,09/26/2025,Recruiter,Square 1459,https://www.square.com,1K-5K,https://www.careerbuilder.com/jobs?q=Recruiter&location=United+States,CareerBuilder,"Seattle, WA",James,Miller,Lead Developer,https://www.linkedin.com/in/james-miller,james.miller@square.com,+1-698-977-6761
Technical,09/26/2025,Cybersecurity Analyst,OpenAI 6946,https://www.openai.com,51-200,https://www.ziprecruiter.com/jobs-search?q=Cybersecurity+Analyst&location=United+States,ZipRecruiter,"Los Angeles, CA",Maria,Moore,Technical Lead,https://www.linkedin.com/in/maria-moore,maria.moore@openai.com,048 9346 7229
Technical,09/26/2025,Product Engineer,Elastic 7664,https://www.elastic.co,501-1K,https://www.workinstartups.com/jobs?q=Product+Engineer&location=United+States,WorkInStartups,"Los Angeles, CA",Stephanie,Taylor,Product Manager,https://www.linkedin.com/in/stephanie-taylor,stephanie.taylor@elastic.com,+44 45 6521 9829
Technical,09/26/2025,MLOps Engineer,SpaceX 8868,https://www.spacex.com,51-200,https://jooble.org/jobs?q=MLOps+Engineer&location=United+States,Jooble,"Atlanta, GA",Emily,Jones,Lead Developer,https://www.linkedin.com/in/emily-jones,emily.jones@spacex.com,+1-443-791-8447
Non Technical,09/26/2025,Financial Analyst,OpenAI 7398,https://www.openai.com,501-1K,https://www.trueup.io/jobs?q=Financial+Analyst&location=United+States,Trueup,"Seattle, WA",Sarah,Smith,CTO,https://www.linkedin.com/in/sarah-smith,sarah.smith@openai.com,+44 56 5573 1543
Non Technical,09/26/2025,Financial Analyst,OpenAI 7398,https://www.openai.com,501-1K,https://www.trueup.io/jobs?q=Financial+Analyst&location=United+States,Trueup,"Seattle, WA",Robert,White,Product Manager,https://www.linkedin.com/in/robert-white,robert.white@openai.com,+1-777-237-7091
Non Technical,09/26/2025,Financial Analyst,OpenAI 7398,https://www.openai.com,501-1K,https://www.trueup.io/jobs?q=Financial+Analyst&location=United+States,Trueup,"Seattle, WA",Stephanie,Smith,Product Manager,https://www.linkedin.com/in/stephanie-smith,stephanie.smith@openai.com,(711) 727-9770
Technical,09/26/2025,Blockchain Developer,Meta 4715,https://www.meta.com,10K+,https://www.itjobboard.co.uk/jobs?q=Blockchain+Developer&location=United+States,IT Job Board,"Dallas, TX",Amanda,Martinez,Technical Director,https://www.linkedin.com/in/amanda-martinez,amanda.martinez@meta.com,+44 57 8590 7214
Technical,09/26/2025,Blockchain Developer,Meta 4715,https://www.meta.com,10K+,https://www.itjobboard.co.uk/jobs?q=Blockchain+Developer&location=United+States,IT Job Board,"Dallas, TX",John,Martinez,VP Product,https://www.linkedin.com/in/john-martinez,john.martinez@meta.com,+44 54 3272 4680
Technical,09/26/2025,Blockchain Developer,Meta 4715,https://www.meta.com,10K+,https://www.itjobboard.co.uk/jobs?q=Blockchain+Developer&location=United+States,IT Job Board,"Dallas, TX",Daniel,Johnson,VP Engineering,https://www.linkedin.com/in/daniel-johnson,daniel.johnson@meta.com,+1-383-528-2141
Technical,09/26/2025,Mobile App Developer,Adobe 8157,https://www.adobe.com,1K-5K,https://www.workingnomads.com/jobs?q=Mobile+App+Developer&location=United+States,Working Nomads,"Denver, CO",David,Moore,Senior Developer,https://www.linkedin.com/in/david-moore,david.moore@adobe.com,(600) 731-1103
Technical,09/26/2025,Mobile App Developer,Adobe 8157,https://www.adobe.com,1K-5K,https://www.workingnomads.com/jobs?q=Mobile+App+Developer&location=United+States,Working Nomads,"Denver, CO",John,Hernandez,Architect,https://www.linkedin.com/in/john-hernandez,john.hernandez@adobe.com,(735) 420-5870
